恰も,"彼女はあたかも幽霊でも見たかのように見えた。
かのじょはあたかもゆうれいでもみたかのようにみえた。
She looked as if she had seen a ghost."
人気者,"冗談や変顔でいつもみんなを笑わせるひょうきんな小林君は、クラスの人気者だ。
冗談やへんがおでいつもみんなを笑わせるひょうきんなこばやしくんは、クラスのにんきものだ。
Mr. Kobayashi, a funny boy who always makes everyone laugh with his jokes and funny faces, is a popular person in his class."
厚かましい,"彼は厚かましくも先生の助言を無視した。
かれはあつかましくもせんせいのじょげんをむしした。
He had the boldness to ignore the teacher's advice."
鬱陶しい,"ベタベタするんじゃねえよっ！鬱陶しい！
ベタベタするんじゃねえよっ！うっとうしい！
Get off me you little pest!"
墜ちる,"お前の魂は地獄に墜ちるのだ。
おまえのたましいはじごくにおちるのだ。
Your soul has been condemned to hell."
抑制,"先進諸国では出生率の上昇が図られる一方で、発展途上国では出生率の抑制が叫ばれる。これは先進国側のエゴととらえられ、発展途上国側との合意形成は極めて難しいことになろう。
せんしんしょこくではしゅっしょうりつのじょうしょうがはかられるいっぽうで、はってんとじょうこくではしゅっしょうりつのよくせいがさけばれる。これはせんしんこくがわのエゴととらえられ、はってんとじょうこくがわとのごういけいせいはきわめてむずかしいことになろう。
While the birth rate is intended to be decreased in developing countries, that of developed nations is selfishly planned to be increased, resulting in the difficulty of getting mutual consent."
うんと,"彼女は年よりうんと若くみせようとした。
かのじょはとしよりうんとわかくみせようとした。
She tried to look much younger than she really was."
きまりわるい,"私は誤りを指摘されて決まり悪い思いをした。
わたしはあやまりをしてきされてきまりわるいおもいをした。
I was abashed when my mistakes were pointed out."
労る,"老人をいたわりなさい。
ろうじんをいたわりなさい。
Be kind to old people."
一角,"銀行員や警察官になりすまし、キャッシュカードをだまし取る詐欺が横行している。公共放送のニュース番組では番組の一角にコーナーを設け、キャスターが詐欺の手口の具体例を挙げながら、詐欺に遭わないために、どんな場合でも他人にカードを渡したり、暗証番号を教えたりしないようにと繰り返し注意を呼びかけている。
銀行員や警察官になりすまし、キャッシュカードをだまし取る詐欺がおうこうしている。公共放送のニュース番組では番組のいっかくにコーナーをもうけ、キャスターが詐欺のてぐちのぐたいれいをあげながら、詐欺にあわないために、どんな場合でもたにんにカードを渡したり、暗証番号を教えたりしないようにと繰り返し注意を呼びかけている。
Fraud in which people impersonate bank employees or police officers to swindle people out of their cash cards is rampant. Public broadcasting news programs have established a section in one of their programs where the newscaster, citing specific examples of fraudulent tactics, repeatedly warns people not to hand over their cards or PINs to strangers under any circumstances in order to avoid being scammed."
誹謗,"SNSで、芸能人に対して誹謗中傷の投稿が行われることが問題となっている。芸能人も生身の人間であるということを意識し、人を傷つける行為は行うべきではない。
エスエヌエスNSで、げいのうじんに対してひぼうちゅうしょうの投稿がおこなわれることが問題となっている。げいのうじんもなまみの人間であるということを意識し、ひとを傷つける行為はおこなうべきではない。
Continuous posting on social networking sites of material considered libelous against celebrities has been an issue. We should remind ourselves that celebrities are human beings like us, with the same feelings, and refrain from engaging in hurtful behavior."
前後する,"No data for Kanji
No data for Kana
No data for English"
おのおの,"都市がゆっくり発展してきたことや、各々の時代がその痕跡を残していることがわかる。
としがゆっくりはってんしてきたことや、おのおののじだいがそのこんせきをのこしていることがわかる。
One feels that the city has grown slowly and each age has left its mark."
きっぱり,"彼女は彼とは映画に行かない、ときっぱり言った。
かのじょはかれとはえいがにいかない、ときっぱりいった。
She told him once and for all that she would not go to the movies with him."
煙たい,"煙たくて、困っています。
けむたくて、こまっています。
I can't be around smoke."
清清しい,"No data for Kanji
No data for Kana
No data for English"
規則,"規則に違反した選手にはペナルティーが科されることになっている。
規則に違反した選手にはペナルティーがかされることになっている。
Players who break the rules will be penalized."
体得する,"No data for Kanji
No data for Kana
No data for English"
毎々,"No data for Kanji
No data for Kana
No data for English"
そそっかしい,"私には彼はそそっかしすぎるように思われる。
わたしにはかれはそそっかしすぎるようにおもわれる。
It seems to me that he is too careless."
庇う,"彼女は自分の立場を犠牲にしてまで彼をかばったため、職を失う羽目になった。
かのじょはじぶんのたちばをぎせいにしてまでかれをかばったため、しょくをうしなうはめになった。
She went out on a limb defending him, and now she has lost her job."
安売り,"自分を安売りしてはいけない。
じぶんをやすうりしてはいけない。
Don't sell yourself short."
該当,"この条件に該当する人は誰もいない。
このじょうけんにがいとうするひとはだれもいない。
There is nobody who fulfils these conditions."
欠如,"問題の原因は部署間のコミュニケーションの欠如にある。
もんだいのげんいんはぶしょかんのコミュニケーションのけつじょにある。
The root of the problem is a lack of communication between departments."
しみじみ,"読書の大切さは若い時にはなかなかわからないかもしれないが、人生の経験を積み、熟年世代になった頃に、しみじみとわかる時が来る。
読書のたいせつさは若い時にはなかなかわからないかもしれないが、人生の経験を積み、じゅくねんせだいになった頃に、しみじみとわかる時が来る。
The importance of reading may be difficult to understand when you are young; however, the time will come, with life experience and maturity when its importance can be keenly comprehended."
着々,"入試制度の改革、カリキュラムの改革は着々と進んでいるが、歩みは遅い。
にゅうしせいどのかいかく、カリキュラムのかいかくはちゃくちゃくとすすんでいるが、あゆみはおそい。
The reform of both entrance examination system and curriculum makes slow progress."
逞しい,"彼女は逞しく逆境に耐えた。
かのじょはたくましくぎゃっきょうにたえた。
She bore her misfortunes with a brave spirit."
